"user_id","game_name","payment_month","revenue_amount_usd","language","has_older_device_model","age","engagement_month","churn_month","last_month","engagement_range","churn_range","lt"
"1tIsLi6U0zW1RIuaViNanA==","game 3","2022-10-01 00:00:00+00","29.25","uk","",20,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","0.00000000000000000000","3.0000000000000000"
"1tIsLi6U0zW1RIuaViNanA==","game 3","2022-12-01 00:00:00+00","38.82","uk","",20,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","0.00000000000000000000","3.0000000000000000"
"29qvbD06oXdmg5G7X/Wigw==","game 3","2022-12-01 00:00:00+00","24.51","uk","",17,"2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000"
"2be8IOVjt9pzDDEVqZwIKQ==","game 3","2022-12-01 00:00:00+00","21.03","ru","",25,"2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","0.00000000000000000000","2.0000000000000000"
"2be8IOVjt9pzDDEVqZwIKQ==","game 3","2022-12-01 00:00:00+00","18.0","ru","",25,"2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","0.00000000000000000000","2.0000000000000000"
"2be8IOVjt9pzDDEVqZwIKQ==","game 3","2022-10-01 00:00:00+00","27.0","ru","",25,"2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","2.0000000000000000"
"2be8IOVjt9pzDDEVqZwIKQ==","game 3","2022-12-01 00:00:00+00","30.93","ru","",25,"2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","0.00000000000000000000","2.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-10-01 00:00:00+00","18.96","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","6.0000000000000000","0.00000000000000000000","8.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-11-01 00:00:00+00","29.13","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","7.0000000000000000","0.00000000000000000000","8.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-12-01 00:00:00+00","14.13","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","8.0000000000000000","0.00000000000000000000","8.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-06-01 00:00:00+00","22.47","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","2.0000000000000000","0.00000000000000000000","8.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-04-01 00:00:00+00","31.95","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","8.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-08-01 00:00:00+00","14.19","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","4.0000000000000000","0.00000000000000000000","8.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-05-01 00:00:00+00","30.33","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","0.00000000000000000000","8.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-04-01 00:00:00+00","24.9","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","0.00000000000000000000","8.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-10-01 00:00:00+00","23.88","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","6.0000000000000000","0.00000000000000000000","8.0000000000000000"
"2FYEYdoJMUOtbJ6TruruWA==","game 3","2022-07-01 00:00:00+00","24.84","ru","",20,"2022-04-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","3.0000000000000000","0.00000000000000000000","8.0000000000000000"
"2KL9Q4TKLCcD4cngwhx6Dg==","game 3","2022-10-01 00:00:00+00","16.44","ru","",18,"2022-09-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","1.00000000000000000000","2.0000000000000000"
"2KL9Q4TKLCcD4cngwhx6Dg==","game 3","2022-10-01 00:00:00+00","21.66","ru","",18,"2022-09-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","1.00000000000000000000","1.00000000000000000000","2.0000000000000000"
"2KL9Q4TKLCcD4cngwhx6Dg==","game 3","2022-09-01 00:00:00+00","14.04","ru","",18,"2022-09-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","0.00000000000000000000","1.00000000000000000000","2.0000000000000000"
