"user_id","game_name","payment_month","revenue","language","has_older_device_model","age","engagement_month","churn_month","last_month","user_status","lifetime_in_month"
"Sx/MqN31Cxf6tOSLIiDtLg==","game 2","2022-07-01 00:00:00+00","26.79","uk",1,19,"2022-07-01 00:00:00+00","2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","new-churn","1"
"RQBsCvxlogTNUidSygqgcQ==","game 3","2022-11-01 00:00:00+00","41.70","uk","",28,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","7"
"q/Tz1C31XWaBUDrRn2ezDw==","game 3","2022-07-01 00:00:00+00","46.89","uk","",21,"2022-05-01 00:00:00+00","2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","churn","3"
"MRcEXu/KG95hsIyJM/816A==","game 3","2022-07-01 00:00:00+00","14.73","uk","",32,"2022-05-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"iG1GfeiUaaoT1pZksh8QKw==","game 3","2022-11-01 00:00:00+00","13.65","uk","",39,"2022-11-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","new-churn","1"
"yFNWN0sYyxkSJ+yLRq1WqA==","game 3","2022-12-01 00:00:00+00","93.84","uk","",16,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","4"
"2be8IOVjt9pzDDEVqZwIKQ==","game 3","2022-12-01 00:00:00+00","69.96","ru","",25,"2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","3"
"pz7LUOs9i7xgncmHVxQvOw==","game 3","2022-08-01 00:00:00+00","36.57","ru","",24,"2022-03-01 00:00:00+00","2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","churn","6"
"ildaqkizLaFesmkjCvlzmQ==","game 3","2022-09-01 00:00:00+00","50.19","uk","",24,"2022-06-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","6"
"cv6g2/jSkR+FwO58WY85DQ==","game 3","2022-11-01 00:00:00+00","23.28","uk","",20,"2022-08-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","5"
"7zai/c69uF/NhB95HgKuYw==","game 3","2022-08-01 00:00:00+00","75.15","uk","",16,"2022-07-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","5"
"iFnn4bfYgNs8OS5MCcLjeA==","game 3","2022-07-01 00:00:00+00","21.39","uk","",28,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"3v8rT35Ra6ui/zatnMoTIw==","game 3","2022-12-01 00:00:00+00","43.62","uk","",28,"2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","2"
"yZ1P1v1eYIbyD5wRy0chGw==","game 3","2022-11-01 00:00:00+00","30.78","uk","",33,"2022-09-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","churn","3"
"e/6IajqZ922YY1rh2ErMJQ==","game 3","2022-08-01 00:00:00+00","78.39","en","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"DqezK7HAqZ+GovyRuzxD1A==","game 3","2022-05-01 00:00:00+00","72.15","uk","",23,"2022-04-01 00:00:00+00","2022-07-01 00:00:00+00","2022-12-01 00:00:00+00","regular","4"
"75lEf3nSWLSf6GncqhR9gQ==","game 3","2022-03-01 00:00:00+00","14.1","ru","",22,"2022-03-01 00:00:00+00","2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","new","7"
"Uen3Ap0lnrgWVWJtFCSo7g==","game 3","2022-07-01 00:00:00+00","41.01","ru","",17,"2022-03-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"dpfu6t8G4blqMn55KM8bSg==","game 3","2022-10-01 00:00:00+00","112.20","uk","",16,"2022-04-01 00:00:00+00","2022-11-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
"sCKPcG1GIuOo593nRuu1Cw==","game 3","2022-12-01 00:00:00+00","135.24","uk","",25,"2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","7"
"CfgvA7ntuRJL/qdscwgMVw==","game 3","2022-11-01 00:00:00+00","56.40","ru","",24,"2022-09-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","4"
"HjI8n/FVfaGZ4bIEwrZPGw==","game 3","2022-06-01 00:00:00+00","31.80","ru","",29,"2022-06-01 00:00:00+00","2022-06-01 00:00:00+00","2022-12-01 00:00:00+00","new-churn","1"
"4btLP2zvi8eBV0t08fdkKQ==","game 3","2022-06-01 00:00:00+00","27.87","ru","",20,"2022-03-01 00:00:00+00","2022-12-01 00:00:00+00","2022-12-01 00:00:00+00","regular","10"
"Y/nf8iBu/UCaNAuIRRjVwA==","game 3","2022-08-01 00:00:00+00","34.86","uk","",15,"2022-03-01 00:00:00+00","2022-10-01 00:00:00+00","2022-12-01 00:00:00+00","regular","8"
