"user_id","game_name","payment_month","revenue","language","has_older_device_model","age","engagement_month","mod_churn_month","lifetime_in_month"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-11-01","84.15","ru","",22,"2022-03-01","","-2"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-04-01","105.96","ru","",22,"2022-03-01","","-2"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-05-01","62.61","ru","",22,"2022-03-01","","-2"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-03-01","34.74","ru","",22,"2022-03-01","","-2"
"7SeM1pmnTTTXfhI+x3ldng==","game 3","2022-10-01","37.44","ru","",22,"2022-03-01","","-2"
"7vnYIRqjBNlAyBbtPg02tQ==","game 3","2022-07-01","31.59","uk","",21,"2022-07-01","","-6"
"7vnYIRqjBNlAyBbtPg02tQ==","game 3","2022-09-01","73.29","uk","",21,"2022-07-01","","-6"
"7vnYIRqjBNlAyBbtPg02tQ==","game 3","2022-08-01","82.08","uk","",21,"2022-07-01","","-6"
"7vnYIRqjBNlAyBbtPg02tQ==","game 3","2022-11-01","23.49","uk","",21,"2022-07-01","","-6"
"7vnYIRqjBNlAyBbtPg02tQ==","game 3","2022-10-01","158.16","uk","",21,"2022-07-01","","-6"
"7vnYIRqjBNlAyBbtPg02tQ==","game 3","2022-12-01","47.31","uk","",21,"2022-07-01","","-6"
"7YaJfLI3RPGUEN2esrQxsQ==","game 3","2022-12-01","26.67","ru","",15,"2022-09-01","","-8"
"7YaJfLI3RPGUEN2esrQxsQ==","game 3","2022-09-01","35.28","ru","",15,"2022-09-01","","-8"
"7zai/c69uF/NhB95HgKuYw==","game 3","2022-11-01","41.04","uk","",16,"2022-07-01","2022-12-01","5"
"7zai/c69uF/NhB95HgKuYw==","game 3","2022-10-01","22.77","uk","",16,"2022-07-01","2022-12-01","5"
"7zai/c69uF/NhB95HgKuYw==","game 3","2022-08-01","75.15","uk","",16,"2022-07-01","2022-12-01","5"
"7zai/c69uF/NhB95HgKuYw==","game 3","2022-07-01","62.25","uk","",16,"2022-07-01","2022-12-01","5"
"7zai/c69uF/NhB95HgKuYw==","game 3","2022-09-01","48.48","uk","",16,"2022-07-01","2022-12-01","5"
"7zbxKst2yi3pfdVI8iEChw==","game 3","2022-08-01","18.3","ru","",15,"2022-04-01","","-3"
