"user_id","payment_month","engagement_month","churn_month","revenue","new_user_revenue","expansion_revenue","contraction_revenue","churn_revenue","revenue_changes","revenue_change_factors","game_name","language","has_older_device_model","age","lifetime_in_month"
"6We7zBO7mVbNxGEl/xPKVg==","2022-08-01","2022-05-01","","21.87","","","-96.96","","-96.96","contraction revenue","game 3","uk","",19,8
"6We7zBO7mVbNxGEl/xPKVg==","2022-09-01","2022-05-01","","41.55","","19.68","","","19.68","expansion revenue","game 3","uk","",19,8
"6We7zBO7mVbNxGEl/xPKVg==","2022-10-01","2022-05-01","","151.68","","110.13","","","110.13","expansion revenue","game 3","uk","",19,8
"6We7zBO7mVbNxGEl/xPKVg==","2022-11-01","2022-05-01","","95.43","","","-56.25","","-56.25","contraction revenue","game 3","uk","",19,8
"6We7zBO7mVbNxGEl/xPKVg==","2022-12-01","2022-05-01","","75.81","","","-19.62","","-19.62","contraction revenue","game 3","uk","",19,8
"/70HXakPPmIGA9K58CIOug==","2022-10-01","2022-10-01","2022-12-01","15.48","15.48","","","","15.48","new user revenue","game 3","uk","",18,2
"/70HXakPPmIGA9K58CIOug==","2022-11-01","2022-10-01","2022-12-01","12.51","","","-2.97","","-2.97","contraction revenue","game 3","uk","",18,2
"/70HXakPPmIGA9K58CIOug==","2022-12-01","2022-10-01","2022-12-01","0","","","","-12.51","-12.51","churn revenue","game 3","uk","",18,2
"72brUr/DKItStlTen5pHYg==","2022-03-01","2022-03-01","2022-12-01","24.15","24.15","","","","24.15","new user revenue","game 3","uk","",24,9
"72brUr/DKItStlTen5pHYg==","2022-05-01","2022-03-01","2022-12-01","19.92","","","-4.23","","-4.23","contraction revenue","game 3","uk","",24,9
"72brUr/DKItStlTen5pHYg==","2022-06-01","2022-03-01","2022-12-01","86.91","","66.99","","","66.99","expansion revenue","game 3","uk","",24,9
"72brUr/DKItStlTen5pHYg==","2022-07-01","2022-03-01","2022-12-01","37.11","","","-49.80","","-49.80","contraction revenue","game 3","uk","",24,9
"72brUr/DKItStlTen5pHYg==","2022-08-01","2022-03-01","2022-12-01","30.63","","","-6.48","","-6.48","contraction revenue","game 3","uk","",24,9
"72brUr/DKItStlTen5pHYg==","2022-09-01","2022-03-01","2022-12-01","18.3","","","-12.33","","-12.33","contraction revenue","game 3","uk","",24,9
"72brUr/DKItStlTen5pHYg==","2022-10-01","2022-03-01","2022-12-01","31.98","","13.68","","","13.68","expansion revenue","game 3","uk","",24,9
"72brUr/DKItStlTen5pHYg==","2022-11-01","2022-03-01","2022-12-01","13.56","","","-18.42","","-18.42","contraction revenue","game 3","uk","",24,9
"72brUr/DKItStlTen5pHYg==","2022-12-01","2022-03-01","2022-12-01","0","","","","-13.56","-13.56","churn revenue","game 3","uk","",24,9
"75lEf3nSWLSf6GncqhR9gQ==","2022-03-01","2022-03-01","2022-10-01","14.1","14.1","","","","14.1","new user revenue","game 3","ru","",22,7
"75lEf3nSWLSf6GncqhR9gQ==","2022-04-01","2022-03-01","2022-10-01","65.97","","51.87","","","51.87","expansion revenue","game 3","ru","",22,7
"75lEf3nSWLSf6GncqhR9gQ==","2022-05-01","2022-03-01","2022-10-01","58.26","","","-7.71","","-7.71","contraction revenue","game 3","ru","",22,7
"75lEf3nSWLSf6GncqhR9gQ==","2022-06-01","2022-03-01","2022-10-01","86.85","","28.59","","","28.59","expansion revenue","game 3","ru","",22,7
