"user_id","game_name","payment_date","revenue_amount_usd","user_id","game_name","language","has_older_device_model","age"
"2be8IOVjt9pzDDEVqZwIKQ==",game 3,2022-12-17,18.0,"2be8IOVjt9pzDDEVqZwIKQ==",game 3,ru,false,25
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-05-24,27.33,GEAVJz1gd3SThbDZR01fcA==,game 3,uk,false,14
gT0iqDKuIXNm4ceMd9eZ1A==,game 3,2022-07-08,14.19,gT0iqDKuIXNm4ceMd9eZ1A==,game 3,uk,false,20
ojVPXYZw2oeGtcmG7LcLGA==,game 3,2022-06-19,17.46,ojVPXYZw2oeGtcmG7LcLGA==,game 3,en,false,20
wDXJbTe2RLmAMKsPm5zZDg==,game 3,2022-08-27,21.03,wDXJbTe2RLmAMKsPm5zZDg==,game 3,ru,false,17
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-08-03,33.3,"7SeM1pmnTTTXfhI+x3ldng==",game 3,ru,false,22
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-09-18,39.09,fuL+cD0zV6Gn4ypTYmXUgw==,game 3,uk,false,16
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-08-06,18.84,"3iITAz/ADjFv3PDTgTjxSg==",game 3,ru,false,16
pz7LUOs9i7xgncmHVxQvOw==,game 3,2022-07-18,25.38,pz7LUOs9i7xgncmHVxQvOw==,game 3,ru,false,24
"3iITAz/ADjFv3PDTgTjxSg==",game 3,2022-03-20,23.76,"3iITAz/ADjFv3PDTgTjxSg==",game 3,ru,false,16
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-08-06,12.87,hi1ErLiMLDP0HWvMqLKv6g==,game 3,ru,false,18
YC2fZQTQXV2UR1/WHDrVqw==,game 3,2022-12-09,31.32,YC2fZQTQXV2UR1/WHDrVqw==,game 3,uk,false,14
ojVPXYZw2oeGtcmG7LcLGA==,game 3,2022-05-26,27.36,ojVPXYZw2oeGtcmG7LcLGA==,game 3,en,false,20
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-11-19,20.46,F03P4YcFbbtcWUlujjIQmQ==,game 3,ru,true,20
mXihLMwkG8RgO1jsFnJXnA==,game 3,2022-08-25,12.75,mXihLMwkG8RgO1jsFnJXnA==,game 3,uk,false,32
psERjQAamFwr88Zadc4wcQ==,game 3,2022-07-04,13.08,psERjQAamFwr88Zadc4wcQ==,game 3,ru,false,22
rw8yxS9+t5PvgINa7EhMvQ==,game 3,2022-09-28,19.44,rw8yxS9+t5PvgINa7EhMvQ==,game 3,uk,true,18
nS8ODZHVyaod50PqOekmOw==,game 3,2022-10-04,12.6,nS8ODZHVyaod50PqOekmOw==,game 3,ru,false,44
aQDvOXzsDAJWi3Y47ptRPg==,game 3,2022-06-01,19.08,aQDvOXzsDAJWi3Y47ptRPg==,game 3,ru,false,20
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,2022-03-30,39.0,Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,uk,false,25
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-11-17,14.91,pLOCMIX+imLIzoDehgdOPA==,game 3,uk,false,22
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-09-08,20.82,VAduzk1Og0uicXfMLD3VbQ==,game 3,uk,false,25
gxZPbCoYIu8slavUm05KGA==,game 3,2022-12-17,19.5,gxZPbCoYIu8slavUm05KGA==,game 3,ru,false,14
dUXVADLWvf2uvh+Q6TNrMw==,game 3,2022-11-06,16.47,dUXVADLWvf2uvh+Q6TNrMw==,game 3,ru,false,19
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-08-24,25.65,"7EPlnA7OQ9MhMx+od6FA9g==",game 3,ru,false,23
HWpnvfSvYzUsQCcCKhetIg==,game 3,2022-07-25,14.22,HWpnvfSvYzUsQCcCKhetIg==,game 3,uk,false,19
D0sawvsyqnyUMXNy+aXo7Q==,game 3,2022-12-24,25.95,D0sawvsyqnyUMXNy+aXo7Q==,game 3,uk,false,19
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-11-29,15.03,WRx4ye0bvLc4925ketwxzQ==,game 3,uk,false,14
